ticker,as_of,float_M,os_M,under_20M,confidence,basis,note
ELPW,2025-05-28,14.50,44.28,true,med,20-F 2024-11-27 Class A,"Class A traded; ClassA O/S 44.28M (of 50.06M all-class, Nov21-2024); excluded 5 pre-de-SPAC PRC lock-up affiliates (Zibo Yingke 8.03, Shenzhen Jinpenglong 6.70, Xingzheng 6.62, Xiamen Jiupaiyuanjiang 4.72, Pingtan Yingke 3.71 = 29.78M); founder Liu 5.78M is ClassB (unlisted); DT 6.04M is post-reverse-split 2026 (not yet at as_of)"
EPWK,2025-05-23,3.16,18.76,true,high,424B4 IPO Feb2025 + 6-K over-allot,Fresh China IPO Class A; offering 2.75M + full over-allotment 0.4125M (closed Feb21-2025) = 3.16M public float; post-IPO ClassA O/S 18.76M; ClassB 3.56M founder Huang (76.8% vote) excluded; 2.5M resale shares still in 180d lockup at as_of; DT float 3.39M matches
FLNC,2025-05-12,63.36,130.72,false,high,10-Q 2025-05-08 + DEF14A 2025-01-24,"Up-C multiclass; ClassA traded; ClassA O/S 130.72M (10-Q May8); excl 3 Stockholders-Agmt board-seat sponsors: Siemens 51.50M ClassA, Qatar/QIA 14.67M ClassA (board nominee Smith), D&O group ex-opt 1.19M = 67.36M; AES holds only ClassB-1 (0 ClassA); DT float 74.87M differs mainly if QIA kept (then ~78M)"
FTK,2025-05-13,11.85,29.83,true,high,10-Q 2025-05-08 cover / DEF 14A,"Carried from 2025-05-07; O/S 29,826,816 per 10-Q (unchanged). Excl ProFrac Holdings 17,244,721 (57.8% parent control) + D&O group 728,698. Float=11.85M confirmed."
HOLO,2025-05-28,81.16,81.99,false,med,424B5 2025-04-23 acc 0001829126-25-002849,"Current O/S 81,992,848 total ordinary (post 40:1 consolidation 2025-04-21); non-affiliate float 81,162,643; excluded ~0.83M affiliate control (Tiger Initiative + Lucky Monkey + D&O); HOLO trades Class A ordinary directly; DT 22.51M is later post-consolidation, ignored."
IDN,2025-05-27,18.45,19.82,true,high,10-Q 2025-05-13 cover / DEF 14A,"Carried from 2025-05-23; O/S 19,816,043 per 10-Q (unchanged from prior). All 5%+ holders are passive 13G filers; D&O group 1,363,264. Float=18.45M confirmed."
ITOS,2025-05-28,30.91,36.57,false,medium,10-Q 2025-04-28 / DEF 14A 2025-04-24,"Carried from 2025-05-13; O/S 36,568,043 (10-Q, unchanged). D&O group 5,656,133 excl (ex-options: 4,238,503 actual). All institutional holders (MPM, BlackRock, RA Capital, BVF) treated as passive; float=30.91M maintained."
LICN,2025-05-13,0.715,0.717,true,high,"20-F 2025-04-28 (FY24), post 1:200 reverse split","Current O/S=716,825 Class A (traded class) per 20-F dated 2025-04-28, post-Feb/Mar-2025 1:200 reverse split; excluded D&O group 1,551 Class A; Class B (45,000, Ya Li/Silver Sky control) is a separate non-traded class; not an ADS (Class A ordinary trades directly on Nasdaq); DT 16.33M O/S reflects post-May-2025 dilution."
LPA,2025-05-23,3.18,31.62,true,high,20-F 2025-04-02 + 424B3 05-06 O/S (de-SPAC),"Logistic Properties of the Americas de-SPAC, Ordinary Shares NOT ADS; O/S=31.62M outstanding as of Apr 25 2025 per 424B3 05-06 (resale registration, not new issuance); excluded JREP/Latam/Jaguar control block 26.312M (=Thomas McDonald D&O group, same shares) + HC PropTech sponsor (Hennessy) 2.131M; float 3.18M; matches DT 3.34M."
MTEX,2025-05-21,1.24,1.9,true,medium,10-Q 2025-05-13 + DEF 14A 2024-04-22 (stale),"O/S 1,900,930 (10-Q May-13, post significant buybacks). Proxy 394d old; excl D&O group actual shares 662,415 (ex-options: 738,221 total - 75,806 options). Sudbury Capital (141,139, 13G) kept. Float=1,900,930-662,415=1,238,515=1.24M. Stale proxy adds uncertainty."
NEGG,2025-05-14,1.59,19.48,true,high,20-F 2025-04-28 Item7,"O/S 19.478M common (20-F cover, post 20-for-1 combination eff 2025-04-07; common not ADS); excluded D&O group ex-options ~17.89M = Zhitao He/Digital Grid control 11.17M + Fred Chang/Tekhill 5.97M + other D&O ~0.75M (options/warrants ~1.1M removed); no passive insts; float ~1.59M <20M; DT 1.27/20.97 consistent."
NHTC,2025-05-12,10.41,11.51,true,high,DEF 14A 2025-03-24 + 10-Q 2025-04-30,"O/S 11,513,075 (proxy, confirmed by 10-Q). D&O group excl = 1,106,091. Broady trusts (2,245,128 + 690,099 = 19.5%+6%) kept: neither is current D&O, neither exceeds 20%, trusts are passive. Renaissance 678K (13F passive). Float=11,513,075-1,106,091=10,406,984=10.41M."
NPCE,2025-05-15,28.56,32.8,false,high,DEF 14A 2025-04-22 + 10-Q 2025-05-13,"O/S 32,798,505 (10-Q May-13). D&O group actual shares (ex-options): 5,613,781-1,375,278=4,238,503 excl. Accelmed/Geiger (13.5%, board-nominee VC) included in D&O group. All other 5%+ holders (OrbiMed, Polar, Morgan Stanley, Soleus, Kent Lake) passive institutions. Float=32,798,505-4,238,503=28,560,002=28.56M."
NSYS,2025-05-07,0.97,2.76,true,high,DEF 14A 2025-04-01 + 10-K 2025-03-31,"O/S 2,760,993 (10-K Mar-31). Excl Curtis Squire/Kunin family control block 1,464,232 (53.0%) + D&O group ex-Curtis 327,338 (11.0%). Everingham 270,500 (9.8%) passive, kept. Float=2,760,993-1,464,232-327,338=969,423=0.97M."
NTCL,2025-05-02,5.03,15.83,true,med,20-F 2025-02-18 Item7,"Listed Class A; O/S 15.83M Class A (20-F, latest filed <=as_of; trades Class A ordinary directly NOT ADS); excluded Dai/Dragonsoft founder 6.37M Class A + Lang Wide/Sze Kok BVI shell 4.44M (28% control affiliate) = 10.805M; float ~5.03M <20M; DT 43.64/57.94 is post-as_of 2026 dilution (>2x DT divergence explained)."
NTCL,2025-05-06,6.38,17.18,true,med,20-F + 6-K 2025-05-06,Listed Class A; O/S 17.18M Class A = 15.83M (20-F) + 1.35M incentive shares issued 2025-04-29 (6-K filed 2025-05-06); trades Class A directly NOT ADS; excluded Dai/Dragonsoft 6.37M + Lang Wide/Sze Kok BVI 4.44M = 10.805M; incentive 1.35M kept in float (recipients unspecified); float ~6.38M <20M; DT 43.64/57.94 post-as_of dilution.
NTHI,2025-05-09,9.09,19.03,true,high,10-Q cover 2025-05-09 / 424B4,O/S 19.03M (10-Q cover May 9); D&O group 9.94M (424B4 prospectus); new IPO Mar 2025; float=19.03-9.94=9.09M; HCWG 6.9% kept (passive)
NUKK,2025-05-21,3.51,5.03,true,med,carried/PRE14A,"Carried from 2025-05-20; no new filing between May 20 and May 21 (next was 10-KT 2025-05-08, S-1/A 2025-05-15 both earlier). O/S still ~5.03M common per PRE14A basis."
NVAX,2025-05-19,160.56,161.96,false,high,carried/10-Q,"Carried from 2025-05-08; O/S unchanged at ~161.96M (10-Q 2025-05-08); no offering/split filed between May 8-19; D&O ~1.4M (1%), all 5%-holders passive 13G"
ORIC,2025-05-29,65.96,71.08,false,high,carried/10-Q,"Carried from 2025-05-28; O/S 71.08M (10-Q 2025-05-05); D&O group 5.12M excluded; all 5%-holders (Pfizer 7.56%, Nextech 7.44%, BlackRock 7.18%, etc.) kept (passive/<20%); no new filing May 28-29"
PBM,2025-05-19,0.58,0.58,true,med,6-K 2025-05-06 press rel + 13D/A 2025-05-12,"Post 1-for-7.97 reverse split (eff May 5 2025) O/S ~583,263; parent Psyence Group Inc. SOLD ALL shares May 2-9 (now 0%, per 13D/A May 12) so no affiliate to exclude; D&O hold 0 directly; float ~= O/S; warrant-exercise drift possible."
PBM,2025-05-30,0.58,0.58,true,med,6-K 2025-05-06 press rel + 13D/A 2025-05-12,"Post 1-for-7.97 reverse split (eff May 5 2025) O/S ~583,263; parent Psyence Group Inc. fully sold out (0%); D&O hold 0; float ~= O/S; warrant-exercise drift possible."
PRE,2025-05-22,9.60,11.45,true,med,20-F 2025-04-30 (Item 7),"Listed class A Ordinary (trades directly; 20-F says ADS Not Applicable - ADS flag false positive, NO division); Class A O/S ~11,453,009 (Apr 24 2025, post 1-for-15 reverse split); total ordinary 12.98M incl 1.58M Class B founder super-voting; excluded D&O-group Class A 889,780 + principal holder Lo Yuk Ming Dennis 962,963; kept Prudential HK passive; float <20M (DT os 16.87M is later snapshot)."
PULM,2025-05-28,3.52,3.65,true,high,carried/10-Q,"Carried from 2025-05-27; O/S 3.652M unchanged (10-Q 2025-05-15); D&O group 136,677 excl (all options); no new filing May 27-28; O/S still 3.65M"
QBTS,2025-05-20,282.8,291.35,false,high,carried/10-Q,Carried from 2025-05-08; O/S 291.35M (10-Q); D&O group 8.58M excl; no offering between May 8-20; float=282.77M
QBTS,2025-05-22,282.8,291.35,false,high,carried/10-Q,Carried from 2025-05-08; O/S 291.35M unchanged; no offering/split May 8-22 (only Form 4s/144s); float=282.77M
QMCO,2025-05-22,5.3,6.53,true,high,carried/DEF14A,Carried from 2025-05-19; O/S 6.53M (DEF 14A Mar 27); D&O group 294K excl; all 5%-holders passive; no O/S event May 19-22; float=6.23M
QVCGB,2025-05-07,0.77,9.11,true,high,DEF14A 2025-03-28,"QVCGB Series B supervoting class: record-date O/S 9,114,716; exclude Maffei (Chairman) 8,345,664 = 89.4% of series; reverse split proposed but NOT yet effected as_of."
QVCGB,2025-05-08,0.77,9.11,true,med,carried/10-Q,"Carried from 2025-05-07; no new filing between May 7-8; O/S 9.11M, Maffei 8.35M excluded; float=0.76M"
RGTI,2025-05-22,288.8,290.32,false,high,carried/10-Q,Carried from 2025-05-14; O/S 290.32M (10-Q 2025-05-12); D&O group excl ~1.48M (mostly options); no offering/split May 14-22 (only Form 4s/144s); float=288.8M
SAGT,2025-05-29,3.84,12.55,true,high,20-F 2025-04-30 + 424B4 2025-03-07,"SAGT=Sagtec Global, BVI, trades ORDINARY shares directly (ADS flag FALSE POSITIVE - no ADS, no division); post-IPO O/S 12,550,000 (10.8M pre-IPO + 1.75M IPO at $4); excluded D&O group 8,707,600 (69.38%, Ng Chen Lok founder/CEO 8.54M + Zuria 0.17M); no other 5% holders. May 6-Ks were business/board news, no new shares. DT os 19.65M is later post-offering snapshot."
SATL,2025-05-02,48.63,83.47,false,med,10-K 2025-03-26 (ownership as of 2025-03-14),"SATL=Satellogic Class A (trades ordinary Class A directly, no ADS); current Class A O/S 83,474,479 (10-K cover Mar-14-2025); excluded D&O group ex-options/warrants 20.93M (Mnuchin/Liberty 20M real shares excl 22.5M warrants + small D&O) + Cantor Fitzgerald sponsor 13.91M (12.8%); KEPT Pitanga 10.59M (13G passive) + Hannover 7.51M (13D, no board seat); Class B (Kargieman 13.58M) not in traded float. Float>>20M. DT os 143M is later-diluted snapshot."
SBC,2025-05-22,10.91,103.61,true,med,10-Q/PRE14A,"O/S 103.61M (10-Q 2025-05-15); Aikawa (CEO/founder) 92.69M (89.45%) excl; other D&O ~0.01M; float=103.61-92.70=10.91M; 424B3 May 19 is resale only, no new primary shares; Japanese-founded micro-cap"
SBET,2025-05-23,0.66,0.70,true,med,10-Q 2025-05-15 + 424B4/8-K 2025-05-20,"SBET=SharpLink pre-Consensys-PIPE; 1:12 reverse split effected May 5 2025 (7,916,206->659,684); O/S ~698,498 (659,684 post-split + 34,000 May-20 offering shares; 1.49M pre-funded warrants NOT counted); excluded D&O group ~43.3K (520,098 pre-split /12); KEPT Alpha Capital ~45.8K (passive PIPE, 9.99% limit). Consensys $425M PIPE filed May-30 (AFTER as_of) - DT os/float 197M is post-PIPE, NOT point-in-time."
SBET,2025-05-27,0.66,0.70,true,med,10-Q 2025-05-15 + 424B4/8-K 2025-05-20,"SBET=SharpLink pre-Consensys-PIPE; 1:12 reverse split May 5 2025 (7,916,206->659,684); O/S ~698,498 (post-split + 34,000 May-20 offering; pre-funded warrants not counted); excluded D&O group ~43.3K; KEPT Alpha Capital ~45.8K (passive). Consensys $425M PIPE 8-K filed May-30 (AFTER this as_of) - DT 197M is post-PIPE, not point-in-time."
SEDG,2025-05-08,58.62,59.04,false,high,10-Q 2025-05-08 + DEF14A 2025-04-21,"Current O/S 59.04M (10-Q, 59,043,817 as of Mar 31 2025); US Delaware filer trades common directly (no ADS despite Israel HQ); excluded D&O group 0.42M; kept all 5% holders (BlackRock/GMO/Vanguard/Jane St/Susquehanna all passive 13G)."
SEPN,2025-05-14,25.09,44.42,false,med,10-K/DEF14A,O/S 44.42M (10-K 2025-03-27); excl D&O group 1.91M + Third Rock 10.43M (board seat via Tong) + RA Capital 6.99M (board seat via Simson); Samsara 6.2% kept (passive); Driehaus 5.8% kept (passive); float=25.09M
SERV,2025-05-09,53.72,56.85,false,high,10-Q/DEF14A,"O/S 56.85M (10-Q 2025-05-08); D&O group 3.13M excl (5.5%); Postmates/Uber 9.3% kept (13D, <20%, no board seat per proxy); float=53.72M"
SERV,2025-05-22,53.72,56.85,false,high,carried/10-Q,Carried from 2025-05-09; O/S 56.85M unchanged; no offering/split May 9-22 (only Form 4s/144s); D&O 3.13M excl; float=53.72M
SIEB,2025-05-27,13.78,40.36,true,med,10-Q/DEF14A,O/S 40.36M (10-Q 2025-05-13); Gebbia family acting-in-concert group 18.50M excl (13D joint agreement); Kakaopay 8.08M excl (20% w/ board-designated director); float=40.36-18.50-8.08=13.78M
SLGL,2025-05-05,1.15,2.79,true,high,20-F 2025-04-29 + 6-K 2025-05-05 (1:10 reverse split eff May 5),"1-for-10 reverse split effective May 5 2025: O/S 27.86M->2.786M; SLGL trades ordinary directly (ADS flag false positive, no division); excluded D&O group ex-options/warrants 16.35M ord /10 = 1.635M (Moshe Arkin/Arkin Dermatology control 61%); kept Phoenix Holdings 8.87% (passive 13G)."
SLGL,2025-05-06,1.15,2.79,true,high,20-F 2025-04-29 + 6-K 2025-05-05 (1:10 reverse split eff May 5),"1-for-10 reverse split effective May 5 2025: O/S 27.86M->2.786M; SLGL trades ordinary directly (ADS flag false positive, no division); excluded D&O group ex-options/warrants 16.35M ord /10 = 1.635M (Moshe Arkin/Arkin Dermatology control 61%); kept Phoenix Holdings 8.87% (passive 13G)."
SMR,2025-05-13,131.98,133.03,false,high,10-Q 2025-05-12 + DEF14A 2025-04-09,"Up-C dual-class; ticker SMR = Class A common; current Class A O/S 133.03M (10-Q); Class B (151M, Fluor 126.4M/Japan NuScale 19.3M) is non-traded no-economic voting stock excluded from the listed class; excluded only D&O Class A ex-options ~1.05M; float ~132M."
SNT,2025-05-19,13.47,23.33,true,high,20-F 2025-04-23 Item 6E/7A,"Senstar Technologies (Canada); trades Common Shares directly (no ADS, flag false positive); O/S 23,326,653; excluded controlling FIMI partnerships (Delaware 4.647M + Israel 5.207M = 9.854M, ~42% control, board nominee Beck) and D&O real shares ~0.0001M (group 70,075 nearly all options); kept none notable."
SOUN,2025-05-12,364.98,369.2,false,high,"multiclass/normal: listed Class A O/S=369,198,933 (10-Q cover May 8 2025). Exclude D&O group Class A 4.22M; keep Vanguard 32.0M + BlackRock 23.3M (passive 13G). Class B 32.54M founder super-voting unlisted.","DT OS 432.77M/float 388.11M is a later-2026 figure (ATM dilution); same order of magnitude, far above 20M."
SPCE,2025-05-16,41.47,41.57,false,high,"normal: 10-Q cover (May 8 2025) 41,574,845 common O/S, post 1-for-20 reverse split (Jun 2024). Exclude D&O group 107,730 (incl options); no 5% control holder in proxy.",DT OS 100.68M is a 2026 post-ATM-dilution snapshot; no remaining control affiliate (Virgin/Aabar exited).
TBI,2025-05-13,28.47,29.86,false,high,"normal: 10-Q cover (May 5 2025) 29,864,024 common O/S, single class. Exclude D&O group 1,395,918 (incl deferred/RSU/options). All 5% holders (Pzena 10%, BlackRock 9%, Invesco, Vanguard, FMR, etc.) are passive 13G -> kept.",Clean small-cap; DT 30.4M OS / 28.88M float matches closely; no control affiliate.
TIL,2025-05-22,3.17,6.56,true,high,"normal+reverse-split: 10-Q/proxy O/S 6,558,927 common (post 1-for-20 reverse split). Exclude D&O group 3,386,244 (CEO/Chairman Crouch 37% incl Curative Ventures CVV 30.9% + SB2A, deduped; director McGaughy/CPMG-Ibisbill; Laumas). Keep passive funds Vivo 585K, BML 440K, Boxer 356K, Perceptive 346K.",Crouch's 2.58M block already contains CVV 2.02M (no double-count); DT float 3.53M close; DT OS 6.78M slightly later/higher.
TASK,2025-05-09,15.3,19.96,true,med,"multiclass: listed Class A O/S=19,964,102 (10-K cover Feb 27 2025). Exclude D&O group Class A 4,666,662 (founders Maddock+Weir); keep Think Investments 3.25M + Vanguard 1.77M (passive 13G). Class B 70.03M (Sponsor Blackstone 47.13M + founders) super-voting, unlisted.","Take-private announced May 9 2025 doesn't change O/S; Sponsor holds 0 Class A; float ~15.3M under 20M (D&O figure incl options, true float slightly higher but <20M)."
TDUP,2025-05-06,91.44,96.35,false,high,"multiclass: listed Class A O/S=96,352,209 (10-Q cover Apr 28 2025). Exclude D&O group Class A 4,907,412 (founder Reinhart etc + options); keep passive Class A 5% holders (Capital World 8.58M, BlackRock 4.89M, Needham 6.20M, Ameriprise 4.84M). Class B 21.90M (founders/VCs super-voting) unlisted.",DT float 92.16M matches; DT OS 129.04M is total/later figure; VCs (Trinity/Redpoint/Highland) hold Class B only.
YSXT,2025-05-28,8.78,22.07,true,low,"ipo/multiclass: fresh China IPO (424B4 12/18/2024); listed Class A O/S 22,072,675 post-IPO; float = Class A O/S - founder BVI SPVs 13.29M (Jeffre Xiao XJ 11.85M + Zheng ZWQ 0.57M + Geran Xiao XGR 0.88M)",13G 'Jeffre Xiao XJ Holding' is chairman control SPV not passive; non-founder pre-IPO Class A ~7.53M not locked (kept); IPO offering only 1.25M; DT 13.42M uses later 27.44M O/S
VERB,2025-05-30,1.30,1.42,true,high,"normal: O/S 1,417,955 common (10-Q cover 5/8/2025, post multiple reverse splits + Apr-2025 offering); 2023 DEF 14A stale so used 10-K (3/25/2025) ownership; float = O/S - D&O actual-common 121,334 (ex-options/RSUs)",No 5% non-insider holders disclosed; insiders Cutaia 60.9K + Geiskopf 60.2K dominate; tiny nano-cap float
SOS,2025-05-09,4.45,4.45,true,med,F-3 2025-03-14 + 6-K 2025-04-11 + F-6 POS (ADS ratio),"China ADS, 1 ADS=150 Class A ord (ratio changed 10->150 eff Nov 19 2024); current Class A ord ~667.0M (444.69M F-3 Mar 2025 + 222.34M PIPE closed Apr 9 2025)/150=4.45M ADS; nearly all public (PIPE/resale holders dispersed, kept; founder Yandai Wang holds non-traded Class B only; D&O Class A negligible 0.19M ord); DT 16.17 reflects later post-May dilution."
SOS,2025-05-12,4.44,4.45,true,med,"multiclass_ads: ADS=150 Class A ord (ratio changed Nov 19 2024 from 10:1). Class A ord=444,688,474 (F-3 Mar 2025)+222,337,500 (Apr 9 2025 PIPE)=667.03M /150=4.447M ADS. Listed Class A ~99% non-affiliate float; founder Class B (24.48M) unlisted/excluded.",DT 16.17M OS is a 2026 snapshot after ~1yr more serial 222M-unit PIPEs; founder super-voting Class B not in listed float; affiliate Class A only ~0.77M ord.
STRM,2025-05-29,2.93,4.26,true,med,"normal+reverse-split: 10-K O/S 4,264,482 (post 1-for-15 split eff Oct 4 2024). DEF14A (Aug 2024) holders pre-split, /15. Exclude D&O group 20,080,398/15=1.339M (incl Tamarack/Ferayorni 13D + Harbert/Lucas, both with board seats).",Tamarack & Harbert are activist funds with directors on board -> excluded as control; DT float 3.37M assumes lighter exclusion; threshold <20M either way.
SYTA,2025-05-20,5.10,5.10,true,high,F-1 2025-05-20 + 20-F 2025-04-21,"Siyata Mobile (Canada), trades Common Shares directly (ADS flag false positive); current O/S 5,097,185 as of May 19 2025 per F-1 cover (post serial reverse splits 1:100, 1:7, 1:7, 1:18, 1:7); D&O group only 22 shares, NO 5% holders, no controlling shareholder; float = essentially full O/S 5.10M; pending F-1 offering not yet closed."
SYTA,2025-05-22,5.09,5.10,true,high,"normal: F-1 (filed 2025-05-20) states 5,097,185 Common Shares O/S as of May 19 2025, post serial reverse splits (1:100, 1:7, 1:18 +others). Trades Common Shares directly on Nasdaq (ADS flag FALSE POSITIVE). D&O ~0.8% pre-splits, now negligible; no 5% holder.","Essentially 100% float, fully retail nano-cap; F-1 offering not yet closed (excluded); not in DT 2026 snapshot."
TMC,2025-05-19,272.83,362.19,false,high,"normal: O/S 362,186,002 common (10-Q cover 5/13/2025); float = O/S - D&O group actual-common ex-options 89.36M (incl director Karkar's ERAS Capital 60.95M)","Allseas 14.6% strategic partner KEPT (under 20%, no board seat); First Manhattan 6.5% board-observer only KEPT; matches DT 273.11M"
TSSI,2025-05-15,20.56,25.02,false,high,"normal: O/S 25,020,498 (10-Q cover 5/13/2025 = proxy 4/28); float = O/S - D&O group 4,805,002 less 341,667 options = 4.46M excluded","Glen Ikeda 5.93% non-insider KEPT (<20%, no board seat); Woodward/MHW block is within D&O group (no double-count)"
TSSI,2025-05-16,20.56,25.02,false,high,"normal: O/S 25,020,498 (10-Q cover 5/13/2025 = proxy 4/28); float = O/S - D&O group 4,805,002 less 341,667 options = 4.46M excluded","Glen Ikeda 5.93% non-insider KEPT (<20%, no board seat); Woodward/MHW block is within D&O group (no double-count)"
TZUP,2025-05-07,4.62,9.48,true,med,"normal: O/S 9,479,709 (PRE 14A 4/15/2025, latest <= as_of); float = O/S - D&O actual-common 3.46M (ex-options, ex-blocked-preferred) - Lupinelli 1.40M non-voting locked-up insider","Excl Lupinelli (14.8%, non-vote agreement + founder lockup, pre-IPO 10%+); KEPT Joe Thomas 7.7% & Andrew Haag 9.9% (5% holders, no board seat, <20%)"
TZUP,2025-05-13,4.64,9.50,true,med,"normal: O/S 9,504,314 (DEF 14C 5/12/2025, as of 4/28 record date); float = O/S - D&O actual-common 3.46M (ex-options, ex-blocked-preferred) - Lupinelli 1.40M non-voting locked-up insider","Excl Lupinelli (14.7%, non-vote agreement + founder lockup, pre-IPO 10%+); KEPT Joe Thomas 7.7% & Andrew Haag 9.9% (5% holders, no board seat, <20%)"
UBXG,2025-05-14,13.05,20.78,true,med,6-K 2025-04-18 (O/S) + 13D/A 2025-03-21 (founder) + 424B2 2025-03-26 (1:16 split),"U-BX (China), trades ordinary directly (ADS flag false positive); 1-for-16 reverse split eff Nov 27 2024 already in current count; current O/S 20,784,142 per 6-K Apr 18 2025; excluded founder/CEO Jian Chen control block 7.592M (Superego Pulse BVI + Columbus LP + direct, per 13D/A) + COO Liu (EvolutionUp BVI) 0.067M + CFO Li (Infinite Fission BVI) 0.071M; DT os 1.818M reflects a LATER additional reverse split (point-in-time O/S is 20.78M)."
UEIC,2025-05-05,9.74,13.15,true,high,"normal: O/S 13,145,083 (DEF 14A 4/14/2025, as of 4/1); float = O/S - D&O group ex-options/RSUs 0.73M - Toro18/Immersion/Singer activist 1.54M (director, cooperation agmt) - Kent Lake activist 1.13M (13D/A 5/5, board nominee)","KEPT passive 13G: Ameriprise 5.97%, Leviticus 5.68%; matches DT 9.7M"
VATE,2025-05-27,4.77,13.28,true,med,"normal: O/S 13,283,218 common (10-Q cover 5/2/2025, post 1:10 reverse split = proxy 4/21); float = O/S - D&O group 7.47M (incl Glazer/Lancer 6.81M control 51%) - Percy Rockdale 1.04M (Gorzynski/Continental 13D control affiliate, 100% of both preferred series)",KEPT Whitefort 7.6% hedge fund (no board seat); alt 5.82M if Percy kept; DT 5.23M
VMAR,2025-05-07,10.34,10.40,true,med,6-K mgmt circular 2025-04-04 (record date 2025-03-27) + 20-F 2024-12-20,"Current O/S 10,400,665 common per AGM circular record date 2025-03-27 (post Feb-2025 offerings, pre a later reverse split that DT's 1.56M reflects); VMAR trades common shares directly (ADS flag false positive, no division); excluded D&O group ~62K (2.2% in Dec-24 20-F), kept KPAC Holdings 180K (6.3% passive); no control person."
VMAR,2025-05-27,1.034,1.040,true,medium,carried from 2025-05-07; May20 6-K settlement 250K shares pending court approval under 3(a)(10) - NOT YET ISSUED as of May27; no other O/S changes,O/S unchanged at 1040067; settlement shares require court approval (deadline Sep15-2025); float unchanged=1034322
XAGE,2025-05-22,0.84,1.00,true,med,10-Q/424B3 (O/S as of 2025-05-12) + DEF14A 2025-02-10 (scaled 1-for-30),"Current O/S 1,003,995 common per 10-Q cover as of 2025-05-12 (post 1-for-30 reverse split eff 2025-05-12; 268,840-share May-19 424B3 already in count); excluded D&O group ex-options 4,858,705 pre-split / 30 = 161,957 (incl Chairman Shukla 12% and dir Upton/Harbor Light 5%); 5% holders None; DT 2.48M reflects later 20/20 Biolabs merger dilution."
